fid,Title,Path,PHOTO_ID,POI_ID,ACTION,MR_PHOTOID,POI_NAME,CATEGORY,SUB_CAT,LANDLINE,MOBILE,MOBILE_1,TOLL_FREE,POI_EMAIL,WEBSITE,SERVICE_TY,IS_EXIST,RE-OPEN DA,DAYS_OF_WO,PARENT_CHI,PARENT_ID,POINT_ADDR,STREET_ROA,SECON_SREE,LOCALITY,SUB_LOCALI,LANDMARK,CITY,POSTCODE,BUILD_LATE,BUILD_LONE,1ST_OPEN,1ST_CLOSE,2ND_OPEN,2ND_CLOSE,FRAME_1,FRAME_2,FRAME_3,REMARKS,COLLECT_ON,COLLECT_DT,PRO_RESOUR,PROD_DATE,TYPE_COLL,A_CATEGORY,A_SUB_CAT,QC_RESOURC,QIL_DMK,FISH_EYE,TRANSLATION_POI,DISPLAY_POI,BRAND_POI,FLOOR_INFO,DISPLAY_LATLON
10577,DCIM\111GOPRO\G0196458.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236261.JPG,IDN_00000236261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10578,DCIM\111GOPRO\G0196459.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236262.JPG,IDN_00000236262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10579,DCIM\111GOPRO\G0196460.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236263.JPG,IDN_00000236263,,,,GRAHA INDOSPEC,BUSINESS FACILITY/OFFICE,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304140858,106.827039,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30410395, 106.82716861"
10580,DCIM\111GOPRO\G0196461.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236264.JPG,IDN_00000236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10581,DCIM\111GOPRO\G0196462.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236265.JPG,IDN_00000236265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10582,DCIM\111GOPRO\G0196463.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236266.JPG,IDN_00000236266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10583,DCIM\111GOPRO\G0196464.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236267.JPG,IDN_00000236267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10584,DCIM\111GOPRO\G0196465.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236268.JPG,IDN_00000236268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10585,DCIM\111GOPRO\G0196466.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236269.JPG,IDN_00000236269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10586,DCIM\111GOPRO\G0196467.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236270.JPG,IDN_00000236270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
